origem;ano;geral_project_id;geral_titulo;geral_data_ini;geral_data_fim;geral_dias_campanha;geral_percentual_arrecadado;geral_meta;geral_meta_corrigida;geral_arrecadado;geral_arrecadado_corrigido;geral_modalidade;geral_status;geral_uf_br;geral_uf;geral_municipio;geral_city_id;geral_capa_imagem;geral_capa_video;geral_content_rating;geral_conteudo_adulto;geral_contributed_by_friends;geral_posts;geral_total_apoiadores;geral_total_contribuicoes;autoria_classificacao;autoria_nome;autoria_nome_publico;recompensas_menor_nominal;recompensas_menor_ajustado;recompensas_quantidade;social_newsletter;social_projetos_contribuidos;social_projetos_publicados;social_seguidores;mencoes_angelo_agostini;mencoes_ccxp;mencoes_disputa;mencoes_erotismo;mencoes_fantasia;mencoes_ficcao_cientifica;mencoes_fiq;mencoes_folclore;mencoes_herois;mencoes_hqmix;mencoes_humor;mencoes_jogos;mencoes_lgbtqiamais;mencoes_midia_independente;mencoes_politica;mencoes_questoes_genero;mencoes_religiosidade;mencoes_saloes_humor;mencoes_terror;mencoes_webformatos;mencoes_zine
catarse;2019;100003;[+18] Gibi de Menininha 2;2019-07-21T17:35:15.235216;2019-09-20T02:59:59.999999;60,0;73,1624;25000,0;25122,729839012893;18290,6;18380,392095737967;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;4;257;259;feminino;germana carvalho viana;germana viana;80,0;80,39273548484127;1;True;32;11;427;True;True;False;True;False;False;False;False;True;True;False;True;False;False;True;True;True;False;True;True;True
catarse;2019;100012;Educando na República!HQs e Revista Illustrada!;2019-07-21T13:01:16.268902;2019-08-21T02:59:59.999999;30,0;123,0;3500,0;3517,182177461805;4305,0;4326,134078278021;flex;successful;PE;PE;Jaboatão dos Guararapes;3274;False;True;1,0;False;False;148;72;75;empresa;thiago vasconcellos modenesi;editora quadriculando;90,0;90,44182742044642;1;False;617;34;433;True;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False
catarse;2019;100052;Savants Sounds - Parte 1 de 4;2019-07-23T00:50:10.707252;2019-11-13T02:59:59.999999;78,0;134,28753846153845;6500,0;6531,9097581433525;8728,69;8771,540828739739;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;22;194;195;masculino;gabriel dantas arrais;gabriel arrais;30,0;30,147275806815475;1;True;66;14;435;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False
catarse;2019;100078;Histórias para não Dormir;2019-08-02T16:10:32.930675;2019-09-22T02:59:59.999999;50,0;183,44444444444443;4500,0;4518,025191723376;8255,0;8288,066212816993;flex;successful;SP;SP;Campinas;4818;False;True;1,0;False;False;14;156;158;masculino;rafael danesin;rafael danesin;150,0;150,60083972411255;1;True;26;3;68;True;True;True;False;False;True;True;True;False;True;False;True;False;False;True;False;True;False;True;False;True
catarse;2019;100092;Nico e Alf: Culpa;2019-09-11T14:47:51.04978;2019-11-10T02:59:59.999999;59,0;130,61666666666667;6000,0;6019,2190627936425;7837,0;7862,103299185629;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;6;166;169;masculino;julio almeida;julio almeida;40,0;40,12812708529095;1;False;5;3;127;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100100;CannabiComix apresenta: MACONHA SEM TABUS;2019-08-15T12:49:14.384885;2019-10-15T02:59:59.999999;60,0;113,59538461538462;6500,0;6526,036388044877;7383,7;7413,276135139532;aon;successful;RS;RS;Porto Alegre;4178;False;True;1,0;False;False;9;132;134;masculino;felipe de farias navarro;felipe navarro;200,0;200,80111963215006;1;False;13;2;41;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False
catarse;2019;100162;Gibi X #3;2019-09-03T23:10:26.784353;2020-02-26T02:59:59.999999;46,0;82,77777777777777;4500,0;4514,414297095232;3725,0;3736,9318348177194;flex;successful;RS;RS;Caxias do Sul;3949;False;True;1,0;False;False;10;60;69;masculino;rogério casacurta;rogerio casacurta;60,0;60,19219062793643;1;True;31;10;63;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100184;Orixás - Ikú;2019-08-05T03:41:10.436084;2019-11-04T01:59:59.999999;90,0;113,34444444444443;9000,0;9036,050383446753;10201,0;10241,861106837812;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;35;152;156;masculino;alexandre miranda silva;alex mir;180,0;180,72100766893504;1;False;206;7;245;True;False;True;False;True;False;False;True;False;True;False;True;False;False;True;False;True;False;True;False;True
catarse;2019;100238;A Cabana - Pela Querida Cibele;2019-07-25T05:18:29.91181;2019-09-24T02:59:59.999999;60,0;106,76923076923077;6500,0;6531,9097581433525;6940,0;6974,06980330998;aon;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;34;54;55;feminino;caroline favret ramalho;outside.co;300,0;301,47275806815475;1;False;8;5;63;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False
catarse;2019;100246;Bem na Fita;2019-07-25T12:23:35.449266;2019-11-03T02:59:59.999999;100,0;81,25333333333333;7500,0;7536,818951703869;6094,0;6123,916625557783;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;21;83;85;empresa;skript editora e eventos ltda;skript editora;59,0;59,289642420070436;1;False;66;211;2646;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;True;False;True;True;True
catarse;2019;100279;Signum Comic;2019-10-11T17:59:08.99852;2019-12-11T02:59:59.999999;60,0;21,333333333333332;15000,0;15034,516673875001;3200,0;3207,3635570933334;aon;failed;SP;SP;Campinas;4818;False;True;1,0;False;False;0;32;34;feminino;fernanda adami;fernanda adami;100,0;100,23011115916667;1;False;11;1;31;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False
catarse;2019;100295;Full House;2019-07-31T17:32:55.057683;2019-09-30T02:59:59.999999;60,0;21,51;20000,0;20098,183871210316;4302,0;4323,119350697339;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;2;72;77;masculino;raimundo paulo teles da silva;house 137 studio;300,0;301,47275806815475;1;False;20;3;118;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False
catarse;2019;100372;Rancho do Corvo Dourado;2019-08-05T07:15:03.424936;2019-10-20T02:59:59.999999;75,0;44,40012;25000,0;25100,139954018756;11100,03;11144,492259752273;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;5;199;207;feminino;cristina camargo medeiros;cris camargo;450,0;451,8025191723376;1;False;39;5;63;True;False;True;False;False;True;False;True;True;True;True;False;True;False;True;False;True;False;True;False;True
catarse;2019;100383;Devaneios 2;2019-07-29T19:21:12.746792;2019-09-28T02:59:59.999999;60,0;144,930018307447;16933,0;17016,127374560216;24541,0;24661,47651916862;aon;successful;RJ;RJ;Volta Redonda;3686;False;True;1,0;False;False;6;536;547;masculino;yorhán monsão de araújo;yorhán araújo;15,0;15,073637903407738;1;True;10;6;227;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False
catarse;2019;100395;Livro Batatinha Fantasma;2019-08-07T11:03:03.50251;2019-10-07T02:59:59.999999;60,0;160,30961538461537;26000,0;26104,145552179507;41680,5;41847,45533413915;aon;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;10;689;700;coletivo;caroline cristina borges 44218248877;batatinha fantasma;300,0;301,2016794482251;1;False;21;2;215;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
catarse;2019;100459;A balada de Sylvan;2019-08-01T10:58:49.236745;2019-09-06T02:59:59.999999;35,0;152,765625;32000,0;32128,17914114401;48885,0;49080,813666088274;aon;successful;RS;RS;Porto Alegre;4178;False;True;1,0;False;False;6;561;575;empresa;rodrigo machado da rosa;figura editora;51,0;51,20428550619827;1;True;27;25;1847;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False
catarse;2019;100510;Ô Mainha!;2019-08-12T16:16:48.762975;2019-10-02T02:59:59.999999;50,0;129,39993333333334;15000,0;15060,083972411256;19409,99;19487,738620244185;aon;successful;PE;PE;Recife;3319;False;True;1,0;False;False;8;363;370;feminino;mariana souza;mariana souza;150,0;150,60083972411255;1;False;12;1;59;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
catarse;2019;100573;10 Dias Perdidos - capítulo 3;2019-08-01T14:29:05.45443;2019-09-21T02:59:59.999999;50,0;180,873;3000,0;3012,0167944822506;5426,19;5447,925136683881;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;19;200;206;masculino;sam ruben ati hart;sam ruben ati hart;75,0;75,30041986205627;1;False;111;15;240;False;True;True;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False
catarse;2019;100613;Betina Vlad e a Maldição da Múmia;2019-08-13T14:52:35.608015;2019-09-28T02:59:59.999999;45,0;35,90714285714286;14000,0;14056,078374250503;5027,0;5047,136141954091;aon;failed;SP;SP;Socorro;5292;False;True;1,0;False;False;7;91;91;masculino;douglas mct;douglas mct;70,0;70,28039187125252;1;False;15;1;86;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False
catarse;2019;100683;Os Devaneios de Mupa - Despertar;2019-08-17T12:56:41.342956;2019-10-17T02:59:59.999999;60,0;107,76545166402536;2524,0;2534,110129757734;2720,0;2730,8952269972406;aon;successful;SP;SP;Araraquara;4746;False;True;1,0;False;False;5;48;55;masculino;murilo alves perin;murilo alves perin;50,0;50,200279908037515;1;False;2;1;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100690;SEM VOZ - uma história pemour;2019-08-07T18:18:58.866432;2019-10-07T02:59:59.999999;60,0;126,27272727272727;5500,0;5522,0307898841265;6945,0;6972,818879226411;aon;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;12;167;170;masculino;bian philippi;bian philippi;525,0;527,1029390343939;1;False;17;2;69;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100697;Diário Ilustrado da Paternidade;2019-10-18T01:11:30.53921;2019-12-02T02:59:59.999999;45,0;121,64386620118535;49268,0;49381,37116589824;59931,5;60069,40906935597;aon;successful;RJ;RJ;Rio de Janeiro;3662;False;True;1,0;False;False;0;355;364;masculino;rodrigo bueno;rodrigo bueno;3500,0;3508,0538905708336;1;False;18;1;24;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
catarse;2015;10070;Jubiá A jornada;2015-07-18T23:40:02.867515;2015-09-17T02:59:59;60,0;16,64;12500,0;15257,74266173997;2080,0;2538,888378913531;aon;failed;RS;RS;Glorinha;4034;False;True;1,0;False;False;11;60;63;masculino;ricardo rosa santos;rick bastos;20,0;24,412388258783952;1;False;9;2;56;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100724;JUBA O Mico-Leão-Preto;2019-08-02T00:39:34.035959;;;0,4;15000,0;15060,083972411256;60,0;60,24033588964502;flex;successful;SP;SP;Teodoro Sampaio;5318;False;True;1,0;False;False;0;2;2;masculino;jhonatan freire;jhonatan freire;50,0;50,200279908037515;1;True;1;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
catarse;2019;100745;Medalha Zero - HQ Nº2;2019-08-15T09:45:09.274354;2020-01-13T02:59:59.999999;150,0;22,566666666666666;15000,0;15060,083972411256;3385,0;3398,5589497741394;flex;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;11;56;57;masculino;rogerio ferraz da silva;rogerio ferraz da silva;300,0;301,2016794482251;1;True;25;4;32;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False
catarse;2019;100840;HQ de Briga;2019-08-09T02:49:29.689945;2019-09-18T02:59:59.999999;40,0;261,2308275862069;14500,0;14558,081173330876;37878,47;38030,195929764035;aon;successful;SP;SP;São Paulo;5274;False;True;1,0;False;False;10;634;657;masculino;priscila yuri tioma 40986907804;silva joão;90,0;90,36050383446752;1;False;9;1;106;False;True;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True
